report_month,station_label_as_reported,parameter,parameter_as_reported,statistic_as_reported,value_as_reported,value,unit,is_missing,page_number,table_number,extraction_method,source_url,source_sha256
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -8 hr,Max,0.87,0.87,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -8 hr,Min,0.05,0.05,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),NO2,NO2 -24 hr,Average,16.01,16.01,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),NO2,NO2 -24 hr,Data capture(%),61.46,61.46,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),NO2,NO2 -24 hr,Excedance(Days),0,0.0,days,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),NO2,NO2 -24 hr,Max,34.57,34.57,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),NO2,NO2 -24 hr,Min,3.16,3.16,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),O3,O3 -8 hr,Average,8.12,8.12,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),O3,O3 -8 hr,Data capture(%),74.85,74.85,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),O3,O3 -8 hr,Excedance(Hour),0.00,0.0,hours,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),O3,O3 -8 hr,Max,20.88,20.88,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),O3,O3 -8 hr,Min,2.82,2.82,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM10,PM10 -24 hr,Average,211.21,211.21,µg /m3,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM10,PM10 -24 hr,Data capture(%),76,76.0,percent,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM10,PM10 -24 hr,Excedance(Days),18,18.0,days,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM10,PM10 -24 hr,Max,380.15,380.15,µg /m3,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM10,PM10 -24 hr,Min,122.66,122.66,µg /m3,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM2.5,PM2.5 -24 hr,Average,127.70,127.7,µg /m3,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM2.5,PM2.5 -24 hr,Data capture(%),75,75.0,percent,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM2.5,PM2.5 -24 hr,Excedance(Days),21,21.0,days,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),PM2.5,PM2.5 -24 hr,Max,262.20,262.2,µg /m3,False,8,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
